Common Name,Scientific Name,Image URL,Freshwater,Saltwater
Belted sandfish,Serranus subligarius,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Fish4454_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Fish4454_-_Flickr_-_NOAA_Photo_Library.jpg,No,Yes
Bermuda blue angelfish,Holacanthus bermudensis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Bermuda_blue_angelfish.jpg/120px-Bermuda_blue_angelfish.jpg,No,Yes
Bermuda chub,Kyphosus sectatrix,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Bermuda_Chub.png/120px-Bermuda_Chub.png,No,Yes
Bicolor damselfish,Stegastes partitus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Stegastes_partitus_-_pone.0010676.g108.png/120px-Stegastes_partitus_-_pone.0010676.g108.png,No,Yes
Bicolour parrotfish,Cetoscarus bicolor,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Bicolor_parrotfishWB.JPG/120px-Bicolor_parrotfishWB.JPG,No,Yes
Bigeye sand tiger,Odontaspis noronhai,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Odontaspis_noronhai.jpg/120px-Odontaspis_noronhai.jpg,No,Yes
Bigeye scad,Selar crumenophthalmus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Fish4443_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Fish4443_-_Flickr_-_NOAA_Photo_Library.jpg,No,Yes
Bigeye thresher,Alopias superciliosus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Alopias_superciliosus.jpg/120px-Alopias_superciliosus.jpg,No,Yes
Bigeye tuna,Thunnus obesus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Thunnus_obesus_%28bigeye_tuna%29.jpg/120px-Thunnus_obesus_%28bigeye_tuna%29.jpg,No,Yes
Bighead carp,Hypophthalmichthys nobilis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Tolstolobec_pestr%C3%BD.jpg/120px-Tolstolobec_pestr%C3%BD.jpg,Yes,No
Bigmouth sleeper,Gobiomorus dormitor,,No,Yes
Bignose shark,Carcharhinus altimus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Carcharhinus_altimus_nefsc.jpg/120px-Carcharhinus_altimus_nefsc.jpg,No,Yes
Black acara,Cichlasoma bimaculatum,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/PSM_V68_D531_Chiclasoma_bimaculatum_of_the_chiclidae.png/120px-PSM_V68_D531_Chiclasoma_bimaculatum_of_the_chiclidae.png,Yes,No
Black arowana,Osteoglossum ferreirai,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Osteoglossum_ferreira_-_Zoo_Frankfurt_1.jpg/120px-Osteoglossum_ferreira_-_Zoo_Frankfurt_1.jpg,Yes,No
Black carp,Mylopharyngodon piceus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Mylopharyngodon_piceus.jpg/120px-Mylopharyngodon_piceus.jpg,Yes,No
Black crappie,Pomoxis nigromaculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Pomoxis_nigromaculatus1.jpg/120px-Pomoxis_nigromaculatus1.jpg,Yes,No
Black drum,Pogonias cromis,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Black_drum.jpg/120px-Black_drum.jpg,No,Yes
Black durgon,Melichthys niger,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Melichthys_niger_on_Kona.jpg/120px-Melichthys_niger_on_Kona.jpg,No,Yes
Black grouper,Mycteroperca bonaci,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Mycteroperca_bonaci.jpg/120px-Mycteroperca_bonaci.jpg,No,Yes
Black jack,Caranx lugubris,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Black_trevally.JPG/120px-Black_trevally.JPG,No,Yes
Black margate,Anisotremus surinamensis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Anisotremus_surinamensis.jpg/120px-Anisotremus_surinamensis.jpg,No,Yes
Black marlin,Istiompax indica,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Maind_u0.gif/120px-Maind_u0.gif,No,Yes
Black seabass,Centropristis striata,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Centropristis_striata.png/120px-Centropristis_striata.png,No,Yes
Black sharkminnow,Labeo chrysophekadion,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Labeo_chrysophekadion_Bleeker.jpg/120px-Labeo_chrysophekadion_Bleeker.jpg,Yes,No
Blackbar soldierfish,Myripristis jacobus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Monaco.Mus%C3%A9e_oc%C3%A9anographique039.jpg/120px-Monaco.Mus%C3%A9e_oc%C3%A9anographique039.jpg,No,Yes
Blackcheek tonguefish,Symphurus plagiusa,,No,Yes
Blackchin tilapia,Sarotherodon melanotheron,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/The_complete_aquarium_book%3B_the_care_and_breeding_of_goldfish_and_tropical_fishes_%281936%29_%2820049224674%29.jpg/120px-The_complete_aquarium_book%3B_the_care_and_breeding_of_goldfish_and_tropical_fishes_%281936%29_%2820049224674%29.jpg,Yes,No
Black-ear wrasse,Halichoeres poeyi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Halichoeres_poeyi_-_pone.0010676.g120.png/120px-Halichoeres_poeyi_-_pone.0010676.g120.png,No,Yes
Blackedge moray eel,Gymnothorax nigromarginatus,,No,Yes
Blackfin cardinalfish,Astrapogon puncticulatus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Astrapogon_puncticulatus_-_pone.0010676.g073.png/120px-Astrapogon_puncticulatus_-_pone.0010676.g073.png,No,Yes
Blackfin snapper,Lutjanus buccanella,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Lutjanus_buccanella_SI.jpg/120px-Lutjanus_buccanella_SI.jpg,No,Yes
Blackfin tuna,Thunnus atlanticus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Blackfin_tuna%2C_Duane_Raver_Jr.jpg/120px-Blackfin_tuna%2C_Duane_Raver_Jr.jpg,No,Yes
Blacknose shark,Carcharhinus acronotus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Blacknose_shark_nmfs.jpg/120px-Blacknose_shark_nmfs.jpg,No,Yes
