Common Name,Scientific Name,Image URL,Freshwater,Saltwater
Jolthead porgy,Calamus bajonado,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Calamus_bajonado.jpg/120px-Calamus_bajonado.jpg,No,Yes
Keel-jawed needlefish,Tylosurus acus,,No,Yes
Keeltail needlefish,Platybelone argalus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Keeltail_needlefish.png/120px-Keeltail_needlefish.png,No,Yes
Key brotula,Ogilbia cayorum,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/FMIB_39775_Ogilbia_cayorum%2C_new_species.jpeg/120px-FMIB_39775_Ogilbia_cayorum%2C_new_species.jpeg,No,Yes
King mackerel,Scomberomorus cavalla,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Scomberomorus_cavalla.png/120px-Scomberomorus_cavalla.png,No,Yes
Knobbed porgy,Calamus nodosus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Calamus_nodosus_%2810.3897-zookeys.882.38449%29_Figure_6.jpg/120px-Calamus_nodosus_%2810.3897-zookeys.882.38449%29_Figure_6.jpg,No,Yes
Koi,Cyprinus rubrofuscus var. "koi",https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Six_koi.jpg/120px-Six_koi.jpg,Yes,No
Kōhaku,Cyprinus rubrofuscus var. Kōhaku,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Kohaku.jpg/120px-Kohaku.jpg,Yes,No
Ladyfish,Elops saurus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Ladyfish_-_NO_Autoban_Aquarium.jpg/120px-Ladyfish_-_NO_Autoban_Aquarium.jpg,No,Yes
Lagoon triggerfish,Rhinecanthus aculeatus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Picasso.triggerfish.arp.jpg/120px-Picasso.triggerfish.arp.jpg,No,Yes
Lake chubsucker,Erimyzon sucetta,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Erimyzon_sucetta.jpg/120px-Erimyzon_sucetta.jpg,Yes,No
Lancer dragonet,Paradiplogrammus bairdi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Paradiplogrammus_bairdi_-_pone.0010676.g162.png/120px-Paradiplogrammus_bairdi_-_pone.0010676.g162.png,No,Yes
Lane snapper,Lutjanus synagris,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Lutjanus_synagris.jpg/120px-Lutjanus_synagris.jpg,No,Yes
Lantern bass,Serranus baldwini,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Serranidae_-_Serranus_baldwini.JPG/120px-Serranidae_-_Serranus_baldwini.JPG,No,Yes
Largehead hairtail,Trichiurus lepturus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Trichiurus_lepturus_by_OpenCage.jpg/120px-Trichiurus_lepturus_by_OpenCage.jpg,No,Yes
Largemouth Bass,Micropterus salmoides,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Largemouth.JPG/120px-Largemouth.JPG,Yes,No
Least killifish,Heterandria formosa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Least_killifish_female_Heterandria_formosa.jpg/120px-Least_killifish_female_Heterandria_formosa.jpg,Yes,Yes
Least puffer,Sphoeroides parvus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Sphoeroides_parvus.jpg/120px-Sphoeroides_parvus.jpg,No,Yes
Leatherjack,Oligoplites saurus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Oligoplites_saurus.11B.jpg/120px-Oligoplites_saurus.11B.jpg,No,Yes
Lebranche mullet,Mugil liza,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Mugil_Liza.jpeg/120px-Mugil_Liza.jpeg,No,Yes
Lemon shark,Negaprion brevirostris,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/Lemonshark.JPG/120px-Lemonshark.JPG,No,Yes
Leopard goby,Tigrigobius saucrum,,No,Yes
Lesser electric ray,Narcine bancroftii,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Fish4345_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Fish4345_-_Flickr_-_NOAA_Photo_Library.jpg,No,Yes
Lichen moray eel,Gymnothorax hubbsi,,No,Yes
Lined seahorse,Hippocampus erectus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Lined_Seahorse-_Hippocampus_erectus_%286042886100%29.jpg/120px-Lined_Seahorse-_Hippocampus_erectus_%286042886100%29.jpg,No,Yes
Lined sole,Achirus lineatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Achirus_lineatus_SI.jpg/120px-Achirus_lineatus_SI.jpg,Yes,Yes
Little tunny,Euthynnus alletteratus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Euall_u0.gif/120px-Euall_u0.gif,No,Yes
Longbill spearfish,Tetrapturus pfluegeri,,No,Yes
Longear sunfish,Lepomis megalotis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lepomis_megalotis2.jpg/120px-Lepomis_megalotis2.jpg,Yes,No
Longfin damselfish,Stegastes diencaeus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Does_nature%27s_pallete....jpg/120px-Does_nature%27s_pallete....jpg,No,Yes
Longfin mako shark,Isurus paucus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Isurus_paucus.jpg/120px-Isurus_paucus.jpg,No,Yes
Longjaw squirrelfish,Neoniphon marianus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Neoniphon_marianus.jpg/120px-Neoniphon_marianus.jpg,No,Yes
Longlure frogfish,Antennarius multiocellatus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/6903_aquaimages.jpg/120px-6903_aquaimages.jpg,No,Yes
Longnose gar,Lepisosteus osseus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Longnose_gar%2C_Boston_Aquarium.JPG/120px-Longnose_gar%2C_Boston_Aquarium.JPG,Yes,No
Longsnout butterflyfish,Forcipiger flavissimus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Forcipiger_flavissimus_Yellow_Longnose_Butterflyfish_Papua_New_Guinea_by_Nick_Hobgood.jpg/120px-Forcipiger_flavissimus_Yellow_Longnose_Butterflyfish_Papua_New_Guinea_by_Nick_Hobgood.jpg,No,Yes
Longspine squirrelfish,Holocentrus rufus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Holocentrus_rufus.jpg/120px-Holocentrus_rufus.jpg,No,Yes
Lookdown,Selene vomer,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Lookdown25.jpg/120px-Lookdown25.jpg,No,Yes
Lyre goby,Evorthodus lyricus,,No,Yes
Mahi-mahi,Coryphaena hippurus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Coryphaena_hippurus.png/120px-Coryphaena_hippurus.png,No,Yes
Mahogany snapper,Lutjanus mahogoni,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Mahogany_snapper_Lutjanus_mahogoni_%283458475349%29.jpg/120px-Mahogany_snapper_Lutjanus_mahogoni_%283458475349%29.jpg,No,Yes
Man-of-war fish,Nomeus gronovii,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Man-of-war-fish.jpg/120px-Man-of-war-fish.jpg,No,Yes
Manta ray,Manta birostris,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Manta_birostris-Thailand4.jpg/120px-Manta_birostris-Thailand4.jpg,No,Yes
Manytooth conger,Conger triporiceps,,No,Yes
Marbled grouper,Dermatolepis inermis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Sanc0498_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Sanc0498_-_Flickr_-_NOAA_Photo_Library.jpg,No,Yes
Marbled moray,Uropterygius macularius,,No,Yes
Marbled puffer,Sphoeroides dorsalis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Sphoeroides_dorsalis.jpg/120px-Sphoeroides_dorsalis.jpg,No,Yes
Margate,Haemulon album,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Haemulon_album.jpg/120px-Haemulon_album.jpg,No,Yes
Masked puffer,Arothron diadematus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Masked_puffer_arothron_diadematus.jpg/120px-Masked_puffer_arothron_diadematus.jpg,No,Yes
Mayan cichlid,Mayaheros urophthalmus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Mayan10a.jpg/120px-Mayan10a.jpg,Yes,No
Megamouth shark,Megachasma pelagios,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Megamouth_shark_Megachasma_pelagios.jpg/120px-Megamouth_shark_Megachasma_pelagios.jpg,No,Yes
Mekong giant catfish,Pangasianodon gigas,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/AquatottoGifu_mekonoonamazu.jpg/120px-AquatottoGifu_mekonoonamazu.jpg,Yes,No
Metallic lanternfish,Myctophum affine,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Myctophum_affine.jpg/120px-Myctophum_affine.jpg,No,Yes
Midas cichlid,Amphilophus citrinellus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Amphilophus_citrinellus_2015_G5.jpg/120px-Amphilophus_citrinellus_2015_G5.jpg,Yes,No
Midnight parrotfish,Scarus coelestinus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Midnight-parrotfish.png/120px-Midnight-parrotfish.png,No,Yes
Mirrorwing flyingfish,Hirundichthys speculiger,,No,Yes
Misty grouper,Hyporthodus mystacinus,,No,Yes
Molly miller,Scartella cristata,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Scartella_cristata_25-09-07_DSCF1035.jpg/120px-Scartella_cristata_25-09-07_DSCF1035.jpg,No,Yes
Mottled conger moray,Enchelycore nigricans,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Enchelycore_nigricans.jpg/120px-Enchelycore_nigricans.jpg,No,Yes
Mottled jawfish,Opistognathus maxillosus,,No,Yes
Mozambique Tilapia,Oreochromis mossambicus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Oreochromis_mossambicus.JPG/120px-Oreochromis_mossambicus.JPG,Yes,No
Mummichog,Fundulus heteroclitus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mummichog.jpg/120px-Mummichog.jpg,Yes,No
Mushroom scorpionfish,Scorpaena inermis,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Scorpaena_inermis_-_pone.0010676.g042.png/120px-Scorpaena_inermis_-_pone.0010676.g042.png,No,Yes
Mutton hamlet,Alphestes afer,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/FMIB_38084_Alphestes_chloropterus_%28Cuvier_%26_Valenciennes%29_%27Cherna%27%3B_Guaseta.jpeg/120px-FMIB_38084_Alphestes_chloropterus_%28Cuvier_%26_Valenciennes%29_%27Cherna%27%3B_Guaseta.jpeg,No,Yes
Mutton snapper,Lutjanus analis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Lutjanus_analis_SI.jpg/120px-Lutjanus_analis_SI.jpg,No,Yes
Naked sole,Gymnachirus nudus,,No,Yes
Nassau grouper,Epinephelus striatus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/NassauGrouper.jpg/120px-NassauGrouper.jpg,No,Yes
Neon goby,Elacatinus evelynae,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Elacatinus_evelynae.jpg/120px-Elacatinus_evelynae.jpg,No,Yes
Neon tetra,Paracheirodon innesi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Neonsalmler_Paracheirodon_innesi.jpg/120px-Neonsalmler_Paracheirodon_innesi.jpg,Yes,No
Night sergeant,Abudefduf taurus,,No,Yes
Night shark,Carcharhinus signatus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Carcharhinus_signatus_nmfs.jpg/120px-Carcharhinus_signatus_nmfs.jpg,No,Yes
Nile perch,Lates niloticus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Lates_niloticus_1923.jpg/120px-Lates_niloticus_1923.jpg,Yes,No
Nile tilapia,Oreochromis niloticus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Oreochromis-niloticus-Nairobi.JPG/120px-Oreochromis-niloticus-Nairobi.JPG,Yes,No
Northern puffer,Sphoeroides maculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Northern_Puffer_in_aquarium.jpg/120px-Northern_Puffer_in_aquarium.jpg,No,Yes
Northern snakehead,Channa argus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Northern_snakehead.jpg/120px-Northern_snakehead.jpg,Yes,No
Nurse shark,Ginglymostoma cirratum,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Nurse_shark.jpg/120px-Nurse_shark.jpg,No,Yes
Ocean sunfish,Mola mola,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Sunfish2.jpg/120px-Sunfish2.jpg,No,Yes
Ocean surgeon,Acanthurus bahianus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Ocean_Surgeonfish_%28Acanthurus_bahianus%29.jpg/120px-Ocean_Surgeonfish_%28Acanthurus_bahianus%29.jpg,No,Yes
Ocean triggerfish,Canthidermis maculata,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/XRF-Canthidermis_maculata.png/120px-XRF-Canthidermis_maculata.png,No,Yes
Oceanic whitetip shark,Carcharhinus longimanus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Oceanic_Whitetip_Shark.png/120px-Oceanic_Whitetip_Shark.png,No,Yes
Ocellated flounder,Ancylopsetta ommata,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Ocellated_flounder_%28_Ancylopsetta_ommata_%29.jpg/120px-Ocellated_flounder_%28_Ancylopsetta_ommata_%29.jpg,No,Yes
Ocellated frogfish,Fowlerichthys ocellatus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Frogfish_ocellated.jpg/120px-Frogfish_ocellated.jpg,No,Yes
Ocellated moray,Gymnothorax saxicola,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Gymnothorax_saxicola.jpg/120px-Gymnothorax_saxicola.jpg,No,Yes
Okefenokee pygmy sunfish,Elassoma okefenokee,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Elassoma_okefenokee_male.png/120px-Elassoma_okefenokee_male.png,Yes,No
Orange-spine surgeonfish,Naso lituratus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Naso_lituratus_Gratwicke.jpg/120px-Naso_lituratus_Gratwicke.jpg,No,Yes
Orangespotted filefish,Cantherhines pullus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Orangespotted_filefish_Cantherhines_pullus_%283475245666%29.jpg/120px-Orangespotted_filefish_Cantherhines_pullus_%283475245666%29.jpg,No,Yes
Orangespotted goby,Nes longus,,No,Yes
Orinoco peacock bass,Cichla orinocensis,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Pesca_Esportiva_na_Amaz%C3%B4nia_16.JPG/120px-Pesca_Esportiva_na_Amaz%C3%B4nia_16.JPG,Yes,No
Orinoco sailfin catfish,Pterygoplichthys multiradiatus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Liposarcus_multiradiatus_01_ssj_20050321.jpg/120px-Liposarcus_multiradiatus_01_ssj_20050321.jpg,Yes,No
Oscar,Astronotus ocellatus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Astronotus_ocellatus.jpg/120px-Astronotus_ocellatus.jpg,Yes,No
Oyster toadfish,Opsanus tau,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/OysterToadfish.jpeg/120px-OysterToadfish.jpeg,No,Yes
Butterfly Peacock bass,Cichla ocellaris,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Cichla_ocellaris_Dvur_zoo_1.jpg/120px-Cichla_ocellaris_Dvur_zoo_1.jpg,Yes,No
Peacock grouper,Cephalopholis argus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Blue-spotted.grouper.arp.jpg/120px-Blue-spotted.grouper.arp.jpg,No,Yes
Pearl cichlid,Geophagus brasiliensis,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Geophagus_brasiliensis.jpg/120px-Geophagus_brasiliensis.jpg,Yes,No
Permit,Trachinotus falcatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Trachinotus_falcatus.jpg/120px-Trachinotus_falcatus.jpg,Yes,Yes
Pigfish (Redmouth grunt),Orthopristis chrysoptera,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Orthopristis_chrysoptera.jpg/120px-Orthopristis_chrysoptera.jpg,No,Yes
Pike topminnow,Belonesox belizanus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Belonesox_belizanus_%28Wroclaw_zoo%29.JPG/120px-Belonesox_belizanus_%28Wroclaw_zoo%29.JPG,Yes,No
Pinfish,Lagodon rhomboides,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/20230606_Lagodon_rhomboides_%28cropped%29.jpg/120px-20230606_Lagodon_rhomboides_%28cropped%29.jpg,No,Yes
Pirambeba,Serrasalmus humeralis,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Serrasalmus_humeralis.jpg/120px-Serrasalmus_humeralis.jpg,Yes,No
Pirarucu,Arapaima gigas,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Arapaima_gigas_captivity.jpg/120px-Arapaima_gigas_captivity.jpg,Yes,No
Plate fish,Bothus lunatus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bothus_lunatus-StCroix.jpg/120px-Bothus_lunatus-StCroix.jpg,No,Yes
Polygon moray,Gymnothorax polygonius,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Gymnothorax_polygonius_-_pone.0010676.g010.png/120px-Gymnothorax_polygonius_-_pone.0010676.g010.png,No,Yes
Pompano dolphinfish,Coryphaena equiselis,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Coryphaena_equiselis.jpg/120px-Coryphaena_equiselis.jpg,No,Yes
Porkfish,Anisotremus virginicus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Anisotremus_virginicus_photo.jpg/120px-Anisotremus_virginicus_photo.jpg,No,Yes
Princess parrotfish,Scarus taeniopterus,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Princess-parrotfish.png/120px-Princess-parrotfish.png,No,Yes
Puddingwife wrasse,Halichoeres radiatus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Halichoeres_radiatus2.jpg/120px-Halichoeres_radiatus2.jpg,No,Yes
Pumpkinseed,Lepomis gibbosus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Lepomis_gibbosus_PAQ.jpg/120px-Lepomis_gibbosus_PAQ.jpg,Yes,No
Pugnose minnow,Opsopoeodus emiliae peninsularis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Pugnose_minnow.jpg/120px-Pugnose_minnow.jpg,Yes,No
Purplemouth moray eel,Gymnothorax vicinus,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Gymnothorax_vicinus_-_pone.0010676.g011.png/120px-Gymnothorax_vicinus_-_pone.0010676.g011.png,No,Yes
Queen angelfish,Holacanthus ciliaris,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Holacanthus_ciliaris_2.jpg/120px-Holacanthus_ciliaris_2.jpg,No,Yes
Queen parrotfish,Scarus vetula,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Scarus_vetula.jpg/120px-Scarus_vetula.jpg,No,Yes
Queen snapper,Etelis oculatus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Etocu_u0.gif/120px-Etocu_u0.gif,No,Yes
Queen triggerfish,Balistes vetula,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/4987_aquaimages.jpg/120px-4987_aquaimages.jpg,No,Yes
Quillback,Carpiodes cyprinus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Carpiodes_cyprinus_%28S0313%29_%2812599878075%29.jpg/120px-Carpiodes_cyprinus_%28S0313%29_%2812599878075%29.jpg,Yes,No
Rainbow parrotfish,Scarus guacamaia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Rainbow_parrotfish.jpg/120px-Rainbow_parrotfish.jpg,No,Yes
Rainbow runner,Elagatis bipinnulata,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Rainbow_runner_3.jpg/120px-Rainbow_runner_3.jpg,No,Yes
Rainbow smelt,Osmerus mordax,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Osmerus_mordax.jpg/120px-Osmerus_mordax.jpg,Yes,Yes
Rainbow trout,Oncorhynchus mykiss,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Female_Rainbow_Trout_in_hand.JPG/120px-Female_Rainbow_Trout_in_hand.JPG,Yes,Yes
Red-bellied pacu,Piaractus brachypomus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Red_Pacu.JPG/120px-Red_Pacu.JPG,Yes,No
Red-bellied piranha,Pygocentrus nattereri,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Gregory_Moine_-_Red_bellied_Piranha_%28by%29.jpg/120px-Gregory_Moine_-_Red_bellied_Piranha_%28by%29.jpg,Yes,No
Red devil cichlid,Amphilophus labiatus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/HerosLabiatusJury.jpg/120px-HerosLabiatusJury.jpg,Yes,No
Red drum,Sciaenops ocellatus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Channelbass.jpg/120px-Channelbass.jpg,No,Yes
Red grouper,Epinephelus morio,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Epinephelus_morio.jpg/120px-Epinephelus_morio.jpg,No,Yes
Red hind,Epinephelus guttatus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Epinephelus_guttatus_-_pone.0010676.g050.png/120px-Epinephelus_guttatus_-_pone.0010676.g050.png,No,Yes
Red lionfish,Pterois volitans,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Pterois_volitans_Manado-e_edit.jpg/120px-Pterois_volitans_Manado-e_edit.jpg,No,Yes
Red porgy,Pagrus pagrus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Pagrus_pagrus.jpg/120px-Pagrus_pagrus.jpg,No,Yes
Red shiner,Cyprinella lutrensis,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Red_shiner.JPG/120px-Red_shiner.JPG,Yes,No
Red snapper,Lutjanus campechanus,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Lutjanus_campechanus.png/120px-Lutjanus_campechanus.png,No,Yes
Red-striped eartheater,Geophagus surinamensis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Geophagus_surinamensis1.jpg/120px-Geophagus_surinamensis1.jpg,Yes,No
Redband parrotfish,Sparisoma aurofrenatum,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Sparisoma_aurofrenatum_-_pone.0010676.g133.png/120px-Sparisoma_aurofrenatum_-_pone.0010676.g133.png,No,Yes
Redbelly tilapia,Coptodon zillii,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Tizil_u0.gif/120px-Tizil_u0.gif,Yes,No
Redbreast sunfish,Lepomis auritus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Redbreasted_Sunfish_-_Lepomis_auritus_from_Maryland.jpg/120px-Redbreasted_Sunfish_-_Lepomis_auritus_from_Maryland.jpg,Yes,No
Redbreast tilapia,Coptodon rendalli,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Tilapia_rendalli.jpg/120px-Tilapia_rendalli.jpg,Yes,No
Redear sunfish,Lepomis microlophus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Redearsunfishnctc.jpg/120px-Redearsunfishnctc.jpg,Yes,No
Redface eel,Monopenchelys acuta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Monopenchelys_acuta_-_pone.0010676.g012.png/120px-Monopenchelys_acuta_-_pone.0010676.g012.png,No,Yes
Redfin needlefish,Strongylura notata notata,,No,Yes
Redlip blenny,Ophioblennius atlanticus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Ophioblennius_atlanticus.jpg/120px-Ophioblennius_atlanticus.jpg,No,Yes
Redtail catfish,Phractocephalus hemioliopterus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Phractocephalus_hemioliopterus2.JPG/120px-Phractocephalus_hemioliopterus2.JPG,Yes,No
Redtail parrotfish,Sparisoma chrysopterum,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Sparisoma_chrysopterum_-_pone.0010676.g135.png/120px-Sparisoma_chrysopterum_-_pone.0010676.g135.png,No,Yes
Reef scorpionfish,Scorpaenodes caribbaeus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Scorpaenodes_caribbaeus_-_pone.0010676.g044.png/120px-Scorpaenodes_caribbaeus_-_pone.0010676.g044.png,No,Yes
Reef squirrelfish,Sargocentron coruscum,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Sargocentron_coruscum_-_pone.0010676.g039.png/120px-Sargocentron_coruscum_-_pone.0010676.g039.png,No,Yes
Reef stonefish,Synanceia verrucosa,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Stone_Fish_at_AQWA_SMC2006.jpg/120px-Stone_Fish_at_AQWA_SMC2006.jpg,No,Yes
Rio Grande Cichlid,Herichthys cyanoguttatum,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Herichthys_cyanoguttatum_%28Rio_Grande_Cichlid%29.jpg/120px-Herichthys_cyanoguttatum_%28Rio_Grande_Cichlid%29.jpg,Yes,No
Rock bass,Ambloplites rupestris,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Rock_Bass.jpg/120px-Rock_Bass.jpg,Yes,No
Rock beauty,Holacanthus tricolor,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Holacanthus_tricolor_1.jpg/120px-Holacanthus_tricolor_1.jpg,No,Yes
Rosy barb,Pethia conchonius,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Rosy_barb.jpg/120px-Rosy_barb.jpg,Yes,No
Rosy razorfish,Xyrichtys martinicensis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Xyrichtys_martinicensis.jpg/120px-Xyrichtys_martinicensis.jpg,No,Yes
Roughtail stingray,Bathytoshia centroura,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Roughtail_stingray_tenerife.jpg/120px-Roughtail_stingray_tenerife.jpg,No,Yes
Round sardinella,Sardinella aurita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Sardinella_aurita.jpg/120px-Sardinella_aurita.jpg,No,Yes
Round scad,Decapterus punctatus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Decapterus_punctatus.jpg/120px-Decapterus_punctatus.jpg,No,Yes
Roundel skate,Rostroraja texana,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Fish4419_-_Flickr_-_NOAA_Photo_Library.jpg/120px-Fish4419_-_Flickr_-_NOAA_Photo_Library.jpg,No,Yes
Royal gramma,Gramma loreto,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Gramma_loreto%2C_Adult_%28Royal_Gramma%29.jpg/120px-Gramma_loreto%2C_Adult_%28Royal_Gramma%29.jpg,No,Yes
